"","Job","Job_partner","Household_size","Education","Education_partner","Edu_diff","Dad_Edu","Mum_Edu","Parents_gap","Parents_gap_cat","emp14Father","emp14Mother","emp14Diff","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","gndr13","gndr14","gndr15","Gender_share","Approval","Interfere","Female","Immigrant","Age","Age_sq","Domicile","Maritalstatus","Child","Minority","Country","Income","Income_sq","Interviewe_Female","Job_diff","Unemployed","Unemployed_partner","Housework_partner","Employment_partner","Trust","Religiosity","weight","Vignette_gender"
"19942",43.53,NA,2,2,2,0,1,1,0,"Equal",2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,71,5041,3,1,3,1,"NL",4,16,1,NA,0,0,0,NA,10,7,0.828729945811899,1
"19943",64,53.89,3,6,6,0,5,3,2,"Father more",2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,58,3364,4,1,2,2,"DE",9,81,0,10.11,0,0,0,1,6,0,3.03572368021592,1
"19944",36.76,62.63,3,4,7,-3,1,4,-3,"Mother more",1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,50,2500,3,3,1,2,"FI",8,64,1,-25.87,0,0,0,1,7,5,0.263402051,1
"19945",57,NA,2,6,3,3,2,2,0,"Equal",1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,1,51,2601,3,1,2,2,"RS",4,16,1,NA,0,1,0,NA,5,6,0.263300069456957,0
"19946",78.01,NA,2,7,7,0,6,5,1,"Father more",2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,60,3600,3,1,2,2,"CH",9,81,1,NA,0,0,0,NA,4,5,0.467903696,1
"19947",63.19,45,2,6,7,-1,7,6,1,"Father more",2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,1,1,27,729,1,3,NA,2,"EE",9,81,1,18.19,0,0,0,1,7,2,0.0580149333194808,1
"19948",56.92,69.4,2,7,7,0,2,3,-1,"Mother more",2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2,1,27,729,3,3,NA,2,"FR",7,49,0,-12.48,0,0,0,1,4,0,3.13768381797032,1
"19949",34,49.72,2,6,7,-1,4,5,-1,"Mother more",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2,1,50,2500,4,1,NA,2,"GB",10,100,1,-15.72,0,0,0,1,9,3,2.51466945677532,1
"19950",54.61,52,3,7,7,0,7,7,0,"Equal",1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,2,39,1521,3,1,1,2,"CH",10,100,1,2.61,0,0,0,1,8,0,0.467903696,1
"19951",20,46,3,4,4,0,2,2,0,"Equal",1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,2,2,48,2304,3,1,2,2,"SI",5,25,1,-26,0,0,0,1,6,8,0.133247572,0
